,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,59.49,65,14,2.73,NZ,1676669088
1,Airai,-8.9266,125.4092,59.52,87,100,1.05,TL,1676668925
2,Dikson,73.5069,80.5464,18.0,95,100,19.82,RU,1676669089
3,Upernavik,72.7868,-56.1549,-20.29,98,32,10.09,GL,1676669089
4,Umluj,25.0213,37.2685,69.37,45,100,17.6,SA,1676668926
5,Mahébourg,-20.4081,57.7,77.29,78,20,2.3,MU,1676669089
6,Coquimbo,-29.9533,-71.3436,73.13,60,0,11.5,CL,1676668974
7,Bluff,-46.6,168.3333,59.81,77,10,6.93,NZ,1676669090
8,Punta Arenas,-53.15,-70.9167,55.51,67,75,11.5,CL,1676669090
9,Manthani,18.65,79.6667,70.75,32,0,3.18,IN,1676668927
10,Arraial do Cabo,-22.9661,-42.0278,82.36,78,0,17.27,BR,1676668884
11,Faanui,-16.4833,-151.75,80.47,73,99,8.97,PF,1676669091
12,Baculin,7.4525,126.5842,75.58,89,99,6.26,PH,1676669092
13,Qaanaaq,77.484,-69.3632,-13.65,77,100,5.64,GL,1676669092
14,Lebu,-37.6167,-73.65,64.45,49,0,24.32,CL,1676669092
15,Ferkessédougou,9.6,-5.2,80.71,13,36,6.29,CI,1676669093
16,Kirakira,-10.4544,161.9205,80.91,84,85,4.63,SB,1676668930
17,Kapaa,22.0752,-159.319,71.92,88,75,3.44,US,1676669094
18,Shirvan,39.9509,48.8994,38.84,48,2,5.37,AZ,1676668931
19,Ushuaia,-54.8,-68.3,53.26,62,40,21.85,AR,1676668877
20,Şuhut,38.5311,30.5458,34.66,52,76,5.55,TR,1676669095
21,Novobirilyussy,56.9514,90.6661,17.6,93,100,10.2,RU,1676669095
22,Rodolfo Sánchez Taboada,31.7167,-116.5667,59.11,47,100,7.0,MX,1676669096
23,Albany,42.6001,-73.9662,34.92,73,100,5.01,US,1676668909
